# motorcycling.csv — word,clue
# NOTE: the 5x5 grid only ever places 3-, 4- and 5-letter words.
# Anything 6+ is silently dropped by build_pools(), so DUCATI/YAMAHA/
# APRILIA/TOPRAK/MARQUEZ/BAGNAIA etc. cannot be used at this grid size.
# Each puzzle needs 6 five-letter / 2 four-letter / 2 three-letter words,
# so 5-letter entries are the most valuable thing to add here.
# Clues must not contain commas — the loader takes row[1] only and
# would silently truncate at the first comma.

# --- riding + racing terms ---
APEX,Fastest point through a corner
LEAN,What a rider does into a turn
GRID,Starting formation on the track
PIT,Where a bike gets serviced mid-race
LAP,One time around the circuit
LAPS,Circuit circuits
RACE,Sunday's main event
RACER,One who competes on two wheels
RIDER,Person aboard the bike
RIDE,Take the bike out
BIKE,The machine itself
BIKES,Machines in the paddock
BIKER,Leather-clad motorcyclist
MOTO,Prefix for GP classes 2 and 3
TRACK,Where the racing happens
LINE,The racing ___ through a bend
POLE,Front spot on the grid
FLAG,Chequered race-ender
START,Lights-out moment
TITLE,What a champion wins
CROWN,Championship honour
SPEED,What the radar trap measures
POWER,What the engine makes
PACE,Rate of lap times
STINT,Run of laps before a stop
DRAFT,Slipstream behind a rival
TOW,Slipstream help down the straight
BEND,Curve in the road
BENDS,Twisty bits
TURN,Corner on a circuit
ESSES,Linked S-shaped curves
KERB,Circuit edging a rider clips
SLIDE,Loss of grip sideways
DRIFT,Rear-end slide through a turn
TUCK,Crouch behind the screen for speed
KNEE,Body part that touches down in a corner
ELBOW,Joint modern riders drag on the deck
STAND,Paddock support for a parked bike
BOX,Team's pit garage
TEAM,Outfit in the paddock
CREW,The mechanics
WET,Sort of tyre for rain
DRY,Sort of tyre for sunshine
RAIN,Reason for wet tyres
ROAD,Public riding surface
LANE,Filtering spot in traffic
TON,Doing the ___ is 100mph in biker slang
CAFE,___ racer with stripped-down style
ACE,London's ___ Cafe biker landmark
MOD,Scooter-riding rival of the rockers
TRIAL,Off-road balance and obstacle event

# --- parts of the bike ---
CHAIN,Drivetrain part that needs lubing
TYRE,Rubber that meets the tarmac
VISOR,Helmet's clear front shield
BRAKE,What the lever applies
LEVER,Hand control on the bar
FORK,Front suspension leg
FORKS,Front suspension pair
SHOCK,Rear suspension absorber
FRAME,The bike's skeleton
TANK,It holds the fuel
SEAT,Where the rider sits
SPOKE,Wire in a wheel
WHEEL,Round thing that turns
RIM,Outer edge of the wheel
HUB,Wheel's centre
AXLE,Rod the wheel spins on
