# general.csv — word,clue
# Everyday English words for the untethered "General" theme.
# Only 3-5 letter words are ever placed on the 5x5 grid; each puzzle needs
# six 5-letter / two 4-letter / two 3-letter answers, so 5s matter most.
# Clues must not contain commas — the loader reads row[1] only.
# Theme entries bypass BLOCKLIST, so keep this list clean by construction.

# --- three letters ---
ACE,Card above the king
ACT,Part of a play
AGE,Years behind you
AID,Help given
AIM,Point at a target
AIR,What we breathe
ARM,Shoulder to hand
ART,Gallery contents
BAG,Shopping carrier
BAT,Cricket willow
BED,Where you sleep
BEE,Honey maker
BOX,Cardboard container
BOY,Young lad
BUS,Public transport
CAP,Peaked headwear
CAR,Family motor
CAT,Feline pet
COW,Field milker
CUP,Tea vessel
DAY,Twenty-four hours
DOG,Loyal companion
EAR,Hearing organ
EGG,Breakfast oval
EYE,Organ of sight
FAN,Cooling blades
FOX,Cunning creature
FUN,Good times
HAT,Head topper
HEN,Egg layer
ICE,Frozen water
INK,Pen filler
JAM,Toast spread
JAR,Preserve pot
JET,Fast aircraft
JOB,Daily work
JOY,Great delight
KEY,Lock opener
LAW,Rule of the land
LEG,Limb for walking
LID,Jar topper
LIP,Mouth edge
LOG,Fireplace fuel
MAP,Route guide
MUD,Wet earth
OAK,Mighty tree
OAR,Rowing blade
OWL,Night bird
PAN,Frying vessel
PEN,Writing tool
PET,Household animal
PIE,Baked filling
PIG,Farmyard grunter
PIN,Sewing point
POT,Cooking vessel
ROW,Line of seats
RUG,Floor covering
SEA,Salt water
SKY,Overhead blue
SON,Male offspring
SUN,Daytime star
TEA,Afternoon brew
TIE,Neck accessory
TOE,Foot digit
TOP,Highest point
TOY,Child's plaything
VAN,Delivery vehicle
WEB,Spider's work
ZOO,Animal park

# --- four letters ---
ABLE,Capable of doing
AREA,Measured space
ARMY,Land forces
BABY,Newborn child
BAND,Group of musicians
BANK,Money keeper
BARN,Farm building
BATH,Long soak
BEAM,Ray of light
BEAR,Woodland giant
BELL,It rings out
BIRD,Feathered flyer
BOAT,Water craft
BOOK,Bound pages
BOWL,Soup dish
CAKE,Birthday bake
CALM,Free from fuss
CAMP,Tented stay
CARD,Birthday sender
CAVE,Hollow in rock
CITY,Large town
CLAY,Potter's material
COAT,Winter outerwear
COIN,Pocket money
COOK,Kitchen worker
CORN,Crop on the cob
CROP,Farmer's yield
DAWN,Break of day
DESK,Office table
DISH,Serving plate
DOOR,Entrance panel
DRUM,Percussion item
DUCK,Pond bird
EDGE,Outer border
EXIT,Way out
FACE,Front of the head
FARM,Land holding
FILM,Cinema feature
FIRE,Flames burning
FISH,River swimmer
FLAG,National banner
FOOD,What we eat
FORK,Table utensil
FROG,Pond hopper
GATE,Garden entrance
GIFT,Wrapped present
GOAL,Aim scored
GOAT,Hill climber
GOLD,Precious metal
HAIR,Head covering
HAND,End of the arm
HERO,Brave figure
HILL,Gentle rise
HOME,Where you live
HOPE,Wish for better
HORN,Brass instrument
IDEA,Bright thought
IRON,Pressing tool
ITEM,Single thing
JUMP,Leap upward
KING,Crowned ruler
KITE,String flyer
LAKE,Inland water
LAMP,Light source
LAND,Solid ground
